file,cuttlefish,background,year,month,day,hour,minute,second,screen,view distance,replicate,folder
6_Uniform_2012_12_5_14_17_13_Checkerboard_2_610_15.png,6,Uniform,2012,12,5,14,17,13,Checkerboard2,610,15,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_27_14_Static_210_13.png,6,Uniform,2012,12,5,14,27,14,Static,210,13,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_52_1_Uniform_19.png,6,Uniform,2012,12,5,13,52,1,Uniform,nan,19,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_39_37_Static_410_8.png,6,Uniform,2012,12,5,13,39,37,Static,410,8,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_49_15_Uniform_4.png,6,Uniform,2012,12,5,13,49,15,Uniform,nan,4,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_44_56_Checkerboard_2_210_20.png,6,Uniform,2012,12,5,14,44,56,Checkerboard2,210,20,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_1_15_Static_610_13.png,6,Uniform,2012,12,5,14,1,15,Static,610,13,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_1_38_Checkerboard_4_410_20.png,6,Uniform,2012,12,5,15,1,38,Checkerboard4,410,20,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_6_0_Checkerboard_2_410_16.png,6,Uniform,2012,12,5,15,6,0,Checkerboard2,410,16,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_11_17_Checkerboard_7_610_11.png,6,Uniform,2012,12,5,14,11,17,Checkerboard7,610,11,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_4_42_Checkerboard_2_410_9.png,6,Uniform,2012,12,5,15,4,42,Checkerboard2,410,9,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_55_51_Checkerboard_2_10_18.png,6,Uniform,2012,12,5,14,55,51,Checkerboard2,10,18,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_0_11_Checkerboard_4_410_14.png,6,Uniform,2012,12,5,15,0,11,Checkerboard4,410,14,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_31_33_Checkerboard_7_210_8.png,6,Uniform,2012,12,5,14,31,33,Checkerboard7,210,8,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_51_7_Checkerboard_4_210_25.png,6,Uniform,2012,12,5,14,51,7,Checkerboard4,210,25,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_45_29_Checkerboard_2_210_23.png,6,Uniform,2012,12,5,14,45,29,Checkerboard2,210,23,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
